# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
_neuron0threshlow1360,	0.0000
_ch1_neuron2,	1.8213
_ch1_neuron2,	2.3860
_ch1_neuron2,	2.4150
_ch1_neuron2,	2.4859
_ch1_neuron2,	2.5050
_ch1_neuron2,	5.5488
_ch1_neuron2,	6.0883
_ch1_neuron2,	11.7496
_ch1_neuron2,	14.2974
_ch1_neuron2,	16.0579
_neuron2threshhig4181,	0.0000
_neuron2threshlow2792,	0.0000
